t,k_t,P_t,Y_t,Δk
0,2.5,0.93980694,4.07138958,0.5499863500000002
1,3.04998635,0.97074305,4.73830524,0.59091161
2,3.64089796,0.98484452,5.34604716,0.5968022199999998
3,4.23770018,0.99142736,5.89493532,0.5800323000000001
4,4.81773248,0.9947165,6.38770627,0.5494908299999999
5,5.36722331,0.99648853,6.82750631,0.5110990500000003
6,5.87832236,0.99751203,7.21788887,0.46884827999999956
7,6.34717064,0.9981401,7.56274775,0.42545199
8,6.77262263,0.99854586,7.86614871,0.38273413000000023
9,7.15535676,0.99881966,8.13215908,0.34188081000000015
10,7.49723757,0.99901129,8.36471538,0.3036172299999995
11,7.8008548,0.99914961,8.56753426,0.26833781000000023
12,8.06919261,0.99925209,8.74405988,0.23620354
13,8.30539615,0.9993297,8.8974389,0.20721495999999995
14,8.51261111,0.99938958,9.03051466,0.18126625000000018
15,8.69387736,0.99943652,9.14583432,0.1581849299999991
16,8.85206229,0.99947382,9.24566401,0.1377606
17,8.98982289,0.99950379,9.33200871,0.11976504000000077
18,9.10958793,0.99952812,9.40663436,0.10396624999999915
19,9.21355418,0.99954802,9.47109057,0.09013774000000119
20,9.30369192,0.99956443,9.52673302,0.07806437999999893
21,9.3817563,0.99957804,9.5747447,0.06754594000000047
22,9.44930224,0.99958938,9.6161557,0.05839871000000052
23,9.50770095,0.99959888,9.6518614,0.05045615999999953
24,9.55815711,0.99960686,9.68263891,0.04356862999999933
25,9.60172574,0.9996136,9.70916185,0.03760264000000113
26,9.63932838,0.99961929,9.73201349,0.032439789999999746
27,9.67176817,0.99962412,9.7516984,0.027975579999999667
28,9.69974375,0.99962822,9.76865277,0.024118160000000444
29,9.72386191,0.99963171,9.78325339,0.02078702000000021
30,9.74464893,0.99963468,9.79582558,0.017911829999999185
31,9.76256076,0.99963722,9.80665006,0.015431250000000674
32,9.77799201,0.99963939,9.815969,0.013291949999999275
33,9.79128396,0.99964125,9.82399121,0.0114475400000007
34,9.8027315,0.99964284,9.83089669,0.009857820000000572
35,9.81258932,0.9996442,9.83684058,0.008487939999998417
36,9.82107726,0.99964537,9.84195653,0.007307740000001672
37,9.828385,0.99964637,9.8463597,0.006291149999999135
38,9.83467615,0.99964723,9.85014927,0.005415590000000137
39,9.84009174,0.99964796,9.85341064,0.004661609999999428
40,9.84475335,0.9996486,9.85621737,0.004012409999999633
41,9.84876576,0.99964914,9.85863278,0.0034534600000011295
42,9.85221922,0.99964961,9.86071139,0.002972259999999949
43,9.85519148,0.99965001,9.86250013,0.002558029999999434
44,9.85774951,0.99965035,9.86403941,0.0022014600000002105
45,9.85995097,0.99965065,9.865364,0.0018945600000002116
46,9.86184553,0.9996509,9.86650384,0.0016304100000006372
47,9.86347594,0.99965112,9.86748467,0.0014030599999994564
48,9.864879,0.99965131,9.86832868,0.0012073899999993642
49,9.86608639,0.99965147,9.86905495,0.0
